Item #,Diameter (mm),Focal Length (mm),Radius of Curvature (mm),Center Thickness (mm),Edge Thickness (mm),Back Focal Length (mm)
84-281,14.0,75.0,34.39,3.0,2.17,72.94
36-686,17.0,27.0,12.38,5.5,1.62,23.23
36-687,17.0,36.0,16.51,4.5,1.83,32.92
36-688,17.0,54.0,24.76,3.5,1.81,51.6
49-959,19.0,30.0,13.75,6.0,1.69,25.88
49-960,19.0,35.0,16.05,5.0,1.5,31.58
49-961,19.0,40.0,18.34,4.5,1.53,36.92
49-962,19.0,50.0,22.92,4.0,1.7,47.25
49-963,19.0,60.0,27.51,3.5,1.62,57.6
49-964,19.0,80.0,36.68,3.0,1.61,77.95
36-689,24.0,35.0,16.05,8.5,2.51,29.17
48-273,24.0,38.0,17.42,7.25,1.96,33.03
36-690,24.0,40.0,18.34,7.5,2.58,34.86
48-274,24.0,50.0,22.92,5.84,2.13,46.0
48-670,24.0,60.0,27.51,4.5,1.5,56.92
48-275,24.0,75.0,34.39,4.43,2.08,71.96
48-276,24.0,100.0,45.85,3.79,2.05,97.4
48-277,24.0,125.0,57.3,3.42,2.04,122.65
48-278,24.0,150.0,68.79,3.18,2.03,147.82
48-279,24.0,175.0,80.23,3.01,2.03,172.94
48-280,24.0,200.0,91.68,2.88,2.02,198.02
48-281,24.0,250.0,114.61,2.71,2.03,248.14
48-282,24.0,400.0,183.39,2.44,2.01,398.33
84-282,29.0,50.0,22.92,7.0,1.41,45.2
84-283,29.0,60.0,27.51,6.0,1.55,55.89
84-284,29.0,90.0,41.26,5.0,2.18,86.57
84-285,29.0,120.0,55.02,5.0,2.92,116.57
84-286,29.0,150.0,68.77,5.0,3.34,146.57
67-223,49.0,75.0,34.39,12.5,1.72,66.43
67-224,49.0,100.0,45.85,9.0,1.58,93.84
67-225,49.0,150.0,68.77,7.0,2.29,145.2
67-226,49.0,200.0,91.69,7.0,3.53,195.19
67-227,49.0,250.0,114.62,7.0,4.24,245.21
70-889,73.5,100.0,45.85,21.0,1.53,85.61
70-890,73.5,125.0,57.31,18.0,4.03,112.66
70-891,73.5,150.0,68.68,20.0,8.88,136.31
70-892,73.5,200.0,91.71,18.75,10.73,187.18
